German,Arabic
realisieren,تدرك
originale,أصلي
zusammenstellen,ضع سويا
experimenten,التجارب
kleinlich,تافه
erlebnisse,مغامرات
gaines,Gaines
erbitten,طلب
abteilungsleiter,رئيس القسم
folglich,بناء على ذلك
ergeht,يذهب
hegt,يضرب
tiefpunkt,قليل
verdecken,التغطية
klargemacht,صافي
wohlhabend,ثري
nachttisch,طاولة سرير جانبية
maultier,بغل
schimpft,وبخ
minderjährige,تحت السن القانوني
bescheidene,محتشم
ängsten,مخاوف
adriana,أدريانا
geburtstagsfeier,حفلة عيد ميلاد
obgleich,رغم
giraffe,زرافة
atmest,يتنفس
einzulassen,اتركه
fegen,مسح
schmutziger,متسخ
kollektiv,جماعي
ordentlichen,عادي
entschlüsselt,فك تشفير
fauchen,همسة
sank,غرقت
erfroren,المجمدة
bunt,متعدد الألوان
russisches,الروسية
kräht,كروش
lodge,النزل
nachtragend,لاحق
rekonstruieren,إعادة البناء
zuschlägt,أصابت
